No.	Time	Source	Destination	Protocol	Length	Info
1	0.000000000	192.168.50.145	162.254.198.156	UDP	320	51692 → 27036 Len=278
2	0.005085700	162.254.198.156	192.168.50.145	UDP	1303	27036 → 51692 Len=1261
3	0.005619500	162.254.198.156	192.168.50.145	UDP	244	27036 → 51692 Len=202
4	0.019623700	192.168.50.145	162.254.198.156	UDP	324	51692 → 27036 Len=282
5	0.021008300	162.254.198.156	192.168.50.145	UDP	1303	27036 → 51692 Len=1261
6	0.021009100	162.254.198.156	192.168.50.145	UDP	261	27036 → 51692 Len=219
7	0.025933500	192.168.50.145	162.254.198.156	UDP	320	51692 → 27036 Len=278
8	0.036211700	162.254.198.156	192.168.50.145	UDP	1303	27036 → 51692 Len=1261
9	0.036212600	162.254.198.156	192.168.50.145	UDP	278	27036 → 51692 Len=236
10	0.051392400	192.168.50.145	162.254.198.156	UDP	290	51692 → 27036 Len=248
11	0.052046500	162.254.198.156	192.168.50.145	UDP	1303	27036 → 51692 Len=1261
12	0.052047200	162.254.198.156	192.168.50.145	UDP	272	27036 → 51692 Len=230
13	0.067043100	192.168.50.145	162.254.198.156	UDP	317	51692 → 27036 Len=275
14	0.068431700	162.254.198.156	192.168.50.145	UDP	1303	27036 → 51692 Len=1261
15	0.068435100	162.254.198.156	192.168.50.145	UDP	1064	27036 → 51692 Len=1022
16	0.079155300	192.168.50.145	162.254.198.156	UDP	321	51692 → 27036 Len=279
17	0.083199800	162.254.198.156	192.168.50.145	UDP	1303	27036 → 51692 Len=1261
18	0.083200500	162.254.198.156	192.168.50.145	UDP	277	27036 → 51692 Len=235
19	0.098786000	192.168.50.145	162.254.198.156	UDP	325	51692 → 27036 Len=283
20	0.098963800	162.254.198.156	192.168.50.145	UDP	1303	27036 → 51692 Len=1261
21	0.098965300	162.254.198.156	192.168.50.145	UDP	307	27036 → 51692 Len=265
22	0.105422500	192.168.50.145	162.254.198.156	UDP	324	51692 → 27036 Len=282
23	0.115022500	162.254.198.156	192.168.50.145	UDP	1303	27036 → 51692 Len=1261
24	0.115024900	162.254.198.156	192.168.50.145	UDP	332	27036 → 51692 Len=290
25	0.130184400	162.254.198.156	192.168.50.145	UDP	1303	27036 → 51692 Len=1261
26	0.130185900	162.254.198.156	192.168.50.145	UDP	426	27036 → 51692 Len=384
27	0.130550300	192.168.50.145	162.254.198.156	UDP	294	51692 → 27036 Len=252
28	0.145928700	162.254.198.156	192.168.50.145	UDP	1303	27036 → 51692 Len=1261
29	0.145930200	162.254.198.156	192.168.50.145	UDP	236	27036 → 51692 Len=194
30	0.146675400	192.168.50.145	162.254.198.156	UDP	316	51692 → 27036 Len=274
31	0.158381700	192.168.50.145	162.254.198.156	UDP	312	51692 → 27036 Len=270
32	0.161196900	162.254.198.156	192.168.50.145	UDP	1303	27036 → 51692 Len=1261
33	0.161198700	162.254.198.156	192.168.50.145	UDP	191	27036 → 51692 Len=149
34	0.177060100	162.254.198.156	192.168.50.145	UDP	1303	27036 → 51692 Len=1261
35	0.177113100	162.254.198.156	192.168.50.145	UDP	158	27036 → 51692 Len=116
36	0.178430800	192.168.50.145	162.254.198.156	UDP	317	51692 → 27036 Len=275
37	0.184462300	192.168.50.145	162.254.198.156	UDP	321	51692 → 27036 Len=279
38	0.192920100	162.254.198.156	192.168.50.145	UDP	1303	27036 → 51692 Len=1261
39	0.192923200	162.254.198.156	192.168.50.145	UDP	727	27036 → 51692 Len=685
40	0.204662000	192.168.50.145	162.254.198.156	UDP	299	51692 → 27036 Len=257
41	0.208263800	162.254.198.156	192.168.50.145	UDP	1303	27036 → 51692 Len=1261
42	0.208264600	162.254.198.156	192.168.50.145	UDP	433	27036 → 51692 Len=391
43	0.211363600	192.168.50.145	162.254.198.156	UDP	325	51692 → 27036 Len=283
44	0.224137100	162.254.198.156	192.168.50.145	UDP	1303	27036 → 51692 Len=1261
45	0.224138400	162.254.198.156	192.168.50.145	UDP	307	27036 → 51692 Len=265
46	0.236429400	192.168.50.145	162.254.198.156	UDP	295	51692 → 27036 Len=253
47	0.239921200	162.254.198.156	192.168.50.145	UDP	1303	27036 → 51692 Len=1261
48	0.239923200	162.254.198.156	192.168.50.145	UDP	351	27036 → 51692 Len=309
49	0.252559100	192.168.50.145	162.254.198.156	UDP	321	51692 → 27036 Len=279
50	0.255072700	162.254.198.156	192.168.50.145	UDP	1303	27036 → 51692 Len=1261
51	0.255725400	162.254.198.156	192.168.50.145	UDP	168	27036 → 51692 Len=126
52	0.264350800	192.168.50.145	162.254.198.156	UDP	321	51692 → 27036 Len=279
53	0.270950000	162.254.198.156	192.168.50.145	UDP	1303	27036 → 51692 Len=1261
54	0.270950900	162.254.198.156	192.168.50.145	UDP	108	27036 → 51692 Len=66
55	0.284327500	192.168.50.145	162.254.198.156	UDP	325	51692 → 27036 Len=283
56	0.286905000	162.254.198.156	192.168.50.145	UDP	1303	27036 → 51692 Len=1261
57	0.286908300	162.254.198.156	192.168.50.145	UDP	623	27036 → 51692 Len=581
58	0.290526700	192.168.50.145	162.254.198.156	UDP	325	51692 → 27036 Len=283
59	0.304364300	162.254.198.156	192.168.50.145	UDP	1303	27036 → 51692 Len=1261
60	0.304368100	162.254.198.156	192.168.50.145	UDP	1129	27036 → 51692 Len=1087
61	0.316093100	192.168.50.145	162.254.198.156	UDP	295	51692 → 27036 Len=253
62	0.318052500	162.254.198.156	192.168.50.145	UDP	1303	27036 → 51692 Len=1261
63	0.318053300	162.254.198.156	192.168.50.145	UDP	688	27036 → 51692 Len=646
64	0.331798100	192.168.50.145	162.254.198.156	UDP	382	51692 → 27036 Len=340
65	0.333916300	162.254.198.156	192.168.50.145	UDP	1303	27036 → 51692 Len=1261
66	0.333917700	162.254.198.156	192.168.50.145	UDP	1303	27036 → 51692 Len=1261
67	0.335877600	162.254.198.156	192.168.50.145	UDP	536	27036 → 51692 Len=494
68	0.349138100	162.254.198.156	192.168.50.145	UDP	1303	27036 → 51692 Len=1261
69	0.349141000	162.254.198.156	192.168.50.145	UDP	830	27036 → 51692 Len=788
70	0.349716600	192.168.50.145	162.254.198.156	UDP	515	51692 → 27036 Len=473
71	0.350346600	192.168.50.145	162.254.198.156	UDP	377	51692 → 27036 Len=335
72	0.364473100	162.254.198.156	192.168.50.145	UDP	1303	27036 → 51692 Len=1261
73	0.364477300	162.254.198.156	192.168.50.145	UDP	856	27036 → 51692 Len=814
74	0.379643000	192.168.50.145	162.254.198.156	UDP	306	51692 → 27036 Len=264
75	0.380860100	162.254.198.156	192.168.50.145	UDP	1303	27036 → 51692 Len=1261
76	0.380864700	162.254.198.156	192.168.50.145	UDP	1183	27036 → 51692 Len=1141
77	0.381036200	192.168.50.145	162.254.198.156	UDP	294	51692 → 27036 Len=252
78	0.396125800	162.254.198.156	192.168.50.145	UDP	1303	27036 → 51692 Len=1261
79	0.396126900	162.254.198.156	192.168.50.145	UDP	438	27036 → 51692 Len=396
80	0.407618200	192.168.50.145	162.254.198.156	UDP	340	51692 → 27036 Len=298
81	0.411456000	162.254.198.156	192.168.50.145	UDP	1303	27036 → 51692 Len=1261
82	0.411457300	162.254.198.156	192.168.50.145	UDP	223	27036 → 51692 Len=181
83	0.427568400	192.168.50.145	162.254.198.156	UDP	367	51692 → 27036 Len=325
84	0.427857000	162.254.198.156	192.168.50.145	UDP	1303	27036 → 51692 Len=1261
85	0.427857800	162.254.198.156	192.168.50.145	UDP	1299	27036 → 51692 Len=1257
86	0.428665500	162.254.198.156	192.168.50.145	UDP	90	27036 → 51692 Len=48
87	0.434330400	192.168.50.145	162.254.198.156	UDP	367	51692 → 27036 Len=325
88	0.442462400	162.254.198.156	192.168.50.145	UDP	1303	27036 → 51692 Len=1261
89	0.442463700	162.254.198.156	192.168.50.145	UDP	278	27036 → 51692 Len=236
90	0.458355900	162.254.198.156	192.168.50.145	UDP	1303	27036 → 51692 Len=1261
91	0.458358700	162.254.198.156	192.168.50.145	UDP	410	27036 → 51692 Len=368
92	0.459308000	192.168.50.145	162.254.198.156	UDP	351	51692 → 27036 Len=309
93	0.460855600	192.168.50.145	162.254.198.156	UDP	315	51692 → 27036 Len=273
94	0.474224300	162.254.198.156	192.168.50.145	UDP	1303	27036 → 51692 Len=1261
95	0.474227200	162.254.198.156	192.168.50.145	UDP	592	27036 → 51692 Len=550
96	0.486037400	192.168.50.145	162.254.198.156	UDP	289	51692 → 27036 Len=247
97	0.489415400	162.254.198.156	192.168.50.145	UDP	1303	27036 → 51692 Len=1261
98	0.489416400	162.254.198.156	192.168.50.145	UDP	232	27036 → 51692 Len=190
