No.	Time	Source	Destination	Protocol	Length	Info
1	0.000000000	162.254.198.101	192.168.50.145	UDP	1286	27028 → 47488 Len=1244
2	0.000062900	192.168.50.145	162.254.198.101	UDP	306	47488 → 27028 Len=264
3	0.006744500	192.168.50.145	162.254.198.101	UDP	306	47488 → 27028 Len=264
4	0.016057000	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
5	0.016058100	162.254.198.101	192.168.50.145	UDP	446	27028 → 47488 Len=404
6	0.026767100	192.168.50.145	162.254.198.101	UDP	279	47488 → 27028 Len=237
7	0.031218000	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
8	0.031218900	162.254.198.101	192.168.50.145	UDP	110	27028 → 47488 Len=68
9	0.032831200	192.168.50.145	162.254.198.101	UDP	303	47488 → 27028 Len=261
10	0.046613900	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
11	0.046614700	162.254.198.101	192.168.50.145	UDP	90	27028 → 47488 Len=48
12	0.054406900	192.168.50.145	162.254.198.101	UDP	320	47488 → 27028 Len=278
13	0.062567300	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
14	0.062568000	162.254.198.101	192.168.50.145	UDP	105	27028 → 47488 Len=63
15	0.074644000	192.168.50.145	162.254.198.101	UDP	344	47488 → 27028 Len=302
16	0.078122500	162.254.198.101	192.168.50.145	UDP	1297	27028 → 47488 Len=1255
17	0.090794900	192.168.50.145	162.254.198.101	UDP	344	47488 → 27028 Len=302
18	0.093862800	162.254.198.101	192.168.50.145	UDP	1073	27028 → 47488 Len=1031
19	0.106439900	192.168.50.145	162.254.198.101	UDP	362	47488 → 27028 Len=320
20	0.109220400	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
21	0.109221400	162.254.198.101	192.168.50.145	UDP	172	27028 → 47488 Len=130
22	0.117979200	192.168.50.145	162.254.198.101	UDP	330	47488 → 27028 Len=288
