No.	Time	Source	Destination	Protocol	Length	Info
1	0.000000000	155.133.252.89	192.168.50.145	UDP	394	27019 → 61613 Len=352
2	0.001466500	192.168.50.145	155.133.252.89	UDP	311	61613 → 27019 Len=269
3	0.015685000	155.133.252.89	192.168.50.145	UDP	399	27019 → 61613 Len=357
4	0.017103300	192.168.50.145	155.133.252.89	UDP	311	61613 → 27019 Len=269
5	0.031548100	155.133.252.89	192.168.50.145	UDP	397	27019 → 61613 Len=355
6	0.033227400	192.168.50.145	155.133.252.89	UDP	311	61613 → 27019 Len=269
7	0.044543900	192.168.50.145	155.133.252.89	UDP	331	61613 → 27019 Len=289
8	0.047080600	155.133.252.89	192.168.50.145	UDP	400	27019 → 61613 Len=358
9	0.062700900	155.133.252.89	192.168.50.145	UDP	407	27019 → 61613 Len=365
10	0.064983900	192.168.50.145	155.133.252.89	UDP	304	61613 → 27019 Len=262
11	0.078206000	155.133.252.89	192.168.50.145	UDP	406	27019 → 61613 Len=364
12	0.080625500	192.168.50.145	155.133.252.89	UDP	300	61613 → 27019 Len=258
13	0.093868800	155.133.252.89	192.168.50.145	UDP	405	27019 → 61613 Len=363
14	0.096761700	192.168.50.145	155.133.252.89	UDP	304	61613 → 27019 Len=262
15	0.108083800	192.168.50.145	155.133.252.89	UDP	327	61613 → 27019 Len=285
16	0.109817600	155.133.252.89	192.168.50.145	UDP	404	27019 → 61613 Len=362
17	0.125003600	155.133.252.89	192.168.50.145	UDP	404	27019 → 61613 Len=362
18	0.128511400	192.168.50.145	155.133.252.89	UDP	304	61613 → 27019 Len=262
19	0.139116200	192.168.50.145	155.133.252.89	UDP	300	61613 → 27019 Len=258
20	0.141223300	155.133.252.89	192.168.50.145	UDP	402	27019 → 61613 Len=360
21	0.150507600	192.168.50.145	155.133.252.89	UDP	303	61613 → 27019 Len=261
22	0.156594600	155.133.252.89	192.168.50.145	UDP	399	27019 → 61613 Len=357
23	0.170857700	192.168.50.145	155.133.252.89	UDP	306	61613 → 27019 Len=264
24	0.172068900	155.133.252.89	192.168.50.145	UDP	416	27019 → 61613 Len=374
25	0.186500700	192.168.50.145	155.133.252.89	UDP	310	61613 → 27019 Len=268
